timestamp	status	S	fit	boundary	sweet	over	n_segs	min_words	max_words	max_duration	chars_per_sec	gap_sec	voice	description
2026-03-25T00:35:15	BASELINE	0.80932	0.9777	0.9882	0.7135	0.0719	2199	8	50		25.0		pt-BR-FranciscaNeural	Baseline for pt-BR-FranciscaNeural (proxy cps=25.0)
2026-03-25T00:35:15	DISCARD	0.65512	0.9137	0.6844	0.4834	0.0229	3672	8	50		25.0	0.1	pt-BR-FranciscaNeural	gap_sec=0.1: phase 1 sweep (proxy)
2026-03-25T00:35:15	DISCARD	0.70221	0.9365	0.7631	0.5584	0.0276	3229	8	50		25.0	0.3	pt-BR-FranciscaNeural	gap_sec=0.3: phase 1 sweep (proxy)
2026-03-25T00:35:16	DISCARD	0.77364	0.9694	0.8919	0.6686	0.0422	2580	8	50		25.0	0.5	pt-BR-FranciscaNeural	gap_sec=0.5: phase 1 sweep (proxy)
2026-03-25T00:35:16	DISCARD	0.80078	0.9763	0.9629	0.7016	0.0586	2319	8	50		25.0	0.7	pt-BR-FranciscaNeural	gap_sec=0.7: phase 1 sweep (proxy)
2026-03-25T00:35:16	DISCARD	0.80632	0.9765	0.9805	0.7088	0.066	2256	8	50		25.0	1.0	pt-BR-FranciscaNeural	gap_sec=1.0: phase 1 sweep (proxy)
2026-03-25T00:35:16	DISCARD	0.80834	0.9771	0.9857	0.7112	0.0673	2230	8	50		25.0	1.2	pt-BR-FranciscaNeural	gap_sec=1.2: phase 1 sweep (proxy)
2026-03-25T00:35:16	DISCARD	0.80916	0.977	0.9874	0.7132	0.068	2221	8	50		25.0	1.5	pt-BR-FranciscaNeural	gap_sec=1.5: phase 1 sweep (proxy)
2026-03-25T00:35:16	KEEP	0.80953	0.977	0.9874	0.7147	0.068	2219	8	50		25.0	2.0	pt-BR-FranciscaNeural	gap_sec=2.0: phase 1 sweep (proxy)
2026-03-25T00:35:16	BASELINE	0.80932	0.9777	0.9882	0.7135	0.0719	2199	8	50		25.0		pt-BR-AntonioNeural	Baseline for pt-BR-AntonioNeural (proxy cps=25.0)
2026-03-25T00:35:16	DISCARD	0.65512	0.9137	0.6844	0.4834	0.0229	3672	8	50		25.0	0.1	pt-BR-AntonioNeural	gap_sec=0.1: phase 1 sweep (proxy)
2026-03-25T00:35:17	DISCARD	0.70221	0.9365	0.7631	0.5584	0.0276	3229	8	50		25.0	0.3	pt-BR-AntonioNeural	gap_sec=0.3: phase 1 sweep (proxy)
2026-03-25T00:35:17	DISCARD	0.77364	0.9694	0.8919	0.6686	0.0422	2580	8	50		25.0	0.5	pt-BR-AntonioNeural	gap_sec=0.5: phase 1 sweep (proxy)
2026-03-25T00:35:17	DISCARD	0.80078	0.9763	0.9629	0.7016	0.0586	2319	8	50		25.0	0.7	pt-BR-AntonioNeural	gap_sec=0.7: phase 1 sweep (proxy)
2026-03-25T00:35:17	DISCARD	0.80632	0.9765	0.9805	0.7088	0.066	2256	8	50		25.0	1.0	pt-BR-AntonioNeural	gap_sec=1.0: phase 1 sweep (proxy)
2026-03-25T00:35:17	DISCARD	0.80834	0.9771	0.9857	0.7112	0.0673	2230	8	50		25.0	1.2	pt-BR-AntonioNeural	gap_sec=1.2: phase 1 sweep (proxy)
2026-03-25T00:35:17	DISCARD	0.80916	0.977	0.9874	0.7132	0.068	2221	8	50		25.0	1.5	pt-BR-AntonioNeural	gap_sec=1.5: phase 1 sweep (proxy)
2026-03-25T00:35:17	KEEP	0.80953	0.977	0.9874	0.7147	0.068	2219	8	50		25.0	2.0	pt-BR-AntonioNeural	gap_sec=2.0: phase 1 sweep (proxy)
2026-03-25T00:35:18	BASELINE	0.80932	0.9777	0.9882	0.7135	0.0719	2199	8	50		25.0		pt-BR-ThalitaNeural	Baseline for pt-BR-ThalitaNeural (proxy cps=25.0)
2026-03-25T00:35:18	DISCARD	0.65512	0.9137	0.6844	0.4834	0.0229	3672	8	50		25.0	0.1	pt-BR-ThalitaNeural	gap_sec=0.1: phase 1 sweep (proxy)
2026-03-25T00:35:18	DISCARD	0.70221	0.9365	0.7631	0.5584	0.0276	3229	8	50		25.0	0.3	pt-BR-ThalitaNeural	gap_sec=0.3: phase 1 sweep (proxy)
2026-03-25T00:35:18	DISCARD	0.77364	0.9694	0.8919	0.6686	0.0422	2580	8	50		25.0	0.5	pt-BR-ThalitaNeural	gap_sec=0.5: phase 1 sweep (proxy)
2026-03-25T00:35:18	DISCARD	0.80078	0.9763	0.9629	0.7016	0.0586	2319	8	50		25.0	0.7	pt-BR-ThalitaNeural	gap_sec=0.7: phase 1 sweep (proxy)
2026-03-25T00:35:18	DISCARD	0.80632	0.9765	0.9805	0.7088	0.066	2256	8	50		25.0	1.0	pt-BR-ThalitaNeural	gap_sec=1.0: phase 1 sweep (proxy)
2026-03-25T00:35:18	DISCARD	0.80834	0.9771	0.9857	0.7112	0.0673	2230	8	50		25.0	1.2	pt-BR-ThalitaNeural	gap_sec=1.2: phase 1 sweep (proxy)
2026-03-25T00:35:19	DISCARD	0.80916	0.977	0.9874	0.7132	0.068	2221	8	50		25.0	1.5	pt-BR-ThalitaNeural	gap_sec=1.5: phase 1 sweep (proxy)
2026-03-25T00:35:19	KEEP	0.80953	0.977	0.9874	0.7147	0.068	2219	8	50		25.0	2.0	pt-BR-ThalitaNeural	gap_sec=2.0: phase 1 sweep (proxy)
